source,date_published,title,content,url,topic,sentiment
The New Republic,2024-11-18,Donald Trump is Already Looking to Gut Medicaid,"We have already received strong interest from several possible candidates with a selection likely made by the beginning of January, DeSantis wrote on X. Florida deserves a Senator who will help Presi… [+879 chars]",https://newrepublic.com/post/188558/republicans-plan-hurt-poor-extend-trump-tax-cuts-snap-food-stamps-medicaid,PERS,Negative
Yahoo Entertainment,2024-11-12,Jesse Watters’ Mother Disinvites Him From Thanksgiving Dinner After Trump Win: ‘Apparently There Wasn’t Enough Room’ | Video,"If you click 'Accept all', we and our partners, including 237 who are part of the IAB Transparency &amp; Consent Framework, will also store and/or access information on a device (in other words, use … [+678 chars]",https://consent.yahoo.com/v2/collectConsent?sessionId=1_cc-session_7c63235e-826f-4043-bda0-7f5e002e967c,PERS,Negative
Snopes.com,2024-11-22,"No, Ambulance Didn't Take Trump Away From Mar-a-Lago","Claim:
On Nov. 21, 2024, ambulances took U.S. President-elect Donald Trump away from his Florida residence at Mar-a-Lago.
On Nov. 21, 2024, The Independent's White House correspondent, Andrew Feinb… [+880 chars]",https://www.snopes.com//fact-check/trump-taken-away-in-ambulance-mar-a-lago/,PERS,Negative
Yahoo Entertainment,2024-11-19,Go be president and we'll still be here': Breaking down the latest Trump legal update,"If you click 'Accept all', we and our partners, including 237 who are part of the IAB Transparency &amp; Consent Framework, will also store and/or access information on a device (in other words, use … [+678 chars]",https://consent.yahoo.com/v2/collectConsent?sessionId=1_cc-session_f299fc0b-3a86-4ba5-a0ed-ed9c28d1c235,PERS,Negative
RT,2024-11-22,Trump gets good news from New York court,"A New York judge has delayed indefinitely the sentencing of US President-elect Donald Trump, following his conviction in June on 34 counts of “falsifying business records” related to the 2016 preside… [+2408 chars]",https://www.rt.com/news/608069-trump-manhattan-court-verdict/,PERS,Negative
Variety,2024-10-28,Trump Media Is Now Worth More Than Elon Musk’s X After Stock Rallies to New Highs,"Trump Media &amp; Technology Group, which operates the Truth Social social-media network, has seen its stock soar in the weeks leading up to the Nov. 5 presidential election — and it is currently wor… [+3615 chars]",https://variety.com/2024/digital/news/trump-media-djt-stock-value-elon-musk-x-1236192435/,PERS,Positive
Jalopnik,2024-11-14,Trump Now Has Control Of Tesla Full Self-Driving Safety Probe,The reasoning behind Elon Musks decision to heavily back former (and future) President Donald Trump as well as be the first buddy is becoming more clear now. The Trump Administration is set to take o… [+4274 chars],https://jalopnik.com/trump-now-has-control-of-tesla-full-self-driving-safety-1851698799,PERS,Negative
NPR,2024-11-01,"Trump, using violent language, attacks 'war hawk' Liz Cheney","Former President Donald Trump lashed out against former GOP Rep. Liz Cheney in Arizona on Thursday, using violent language and insults to describe the most prominent Republican supporter of his oppon… [+1675 chars]",https://www.npr.org/2024/11/01/g-s1-31443/trump-liz-cheney,PERS,Negative
HuffPost,2024-11-04,Trump Closes Out Election Campaign By Threatening Michelle Obama,"Yahoo is using AI to generate takeaways from this article. This means the info may not always match what's in the article. Reporting mistakes helps us improve the experience.Generate Key Takeaways
D… [+2419 chars]",https://www.huffpost.com/entry/trump-michelle-obama-hit-threat_n_6729255ee4b0266a34585ecd,PERS,Negative
Business Insider,2024-11-13,Did you need another reminder that Donald Trump watches TV? Here you go.,"Earlier this week, I wondered how much Twitter was going to influence the next Trump administration and how much influence we'd see from TV, which was tremendously important the first time around.
H… [+3102 chars]",https://www.businessinsider.com/pete-hegseth-trump-fox-twitter-elon-musk-influence-2024-11,PERS,Negative
Yahoo Entertainment,2024-11-01,Critics Trash Donald Trump Jr. And Eric Trump For 'On The Nose' Halloween Costumes,"If you click 'Accept all', we and our partners, including 237 who are part of the IAB Transparency &amp; Consent Framework, will also store and/or access information on a device (in other words, use … [+678 chars]",https://consent.yahoo.com/v2/collectConsent?sessionId=1_cc-session_5b2c6178-7f9f-4b55-9a82-f23cfd44006f,PERS,Negative
Rolling Stone,2024-11-21,Donald Trump and Eddy Grant Settle Lawsuit Over ‘Electric Avenue’ Campaign Video,"In 2020, Donald Trump shared a campaign video on Twitter that utilized Eddy Grant‘s 1982 hit “Electric Avenue.” Shortly after, the musician filed a lawsuit alleging copyright infringement. Developmen… [+1743 chars]",http://www.rollingstone.com/music/music-news/donald-trump-eddy-grant-settle-electric-avenue-suit-1235175918/,PERS,Negative
Gizmodo.com,2024-11-19,Trump Reportedly Set to Attend Sixth SpaceX Starship Launch Today,"Donald Trump is reportedly attending the highly-anticipated sixth test launch of SpaceX’s Starship rocket, as the president elect gets more chummy with rocket billionaire Elon Musk.
Starship is gett… [+2734 chars]",https://gizmodo.com/trump-reportedly-set-to-attend-sixth-spacex-starship-launch-today-2000526481,PERS,Neutral
ABC News,2024-11-14,Exploring Trump-Musk bromance: Can the two powerful personalities stay connected?,"President-elect Donald Trump and billionaire Elon Musk have formed a close bond as Trump campaigned for the presidency in 2024.
Musk showed continued support to Trump leading up to Election Day and,… [+3807 chars]",https://abcnews.go.com/Politics/exploring-trump-musk-bromance-powerful-personalities/story?id=115812951,PERS,Negative
Rolling Stone,2024-10-31,Billionaire Trump Awkwardly Dresses Up as a Garbage Truck Driver,"Republican presidential candidate and billionaire Donald Trump once again made a mockery of America’s blue-collar workers by donning an orange safety vest, climbing into the passenger seat of a garba… [+2741 chars]",http://www.rollingstone.com/politics/politics-news/billionaire-trump-dresses-up-garbage-truck-driver-1235148279/,PERS,Negative
NPR,2024-11-19,Manhattan prosecutors ask for additional pause in Trump hush-money criminal case,Manhattan District Attorney Alvin Bragg on Tuesday asked a judge to pause further proceedings in the criminal trial against President-elect Donald Trump in order to give both sides time to weigh the … [+2882 chars],https://www.npr.org/2024/11/19/nx-s1-5186995/new-york-criminal-trump-immunity,PERS,Negative
Business Insider,2024-11-05,Trump still has 4 criminal indictments waiting for him — here's what happens if he wins or loses,"Not only is the presidency on the line for Donald Trump in the 2024 election, but so are his four criminal indictments.
Winning would largely free the former president for the foreseeable future fro… [+7399 chars]",https://www.businessinsider.com/donald-trump-election-criminal-cases-presidency-2024-11,PERS,Negative
Yahoo Entertainment,2024-11-22,"Trump plans to assemble investigative teams to look into 2020 election, Washington Post reports","(Reuters) - U.S. President-elect Donald Trump plans to assemble investigative teams at the Department of Justice to search for evidence in battleground states that fraud tainted the 2020 election, th… [+803 chars]",https://www.yahoo.com/news/trump-plans-assemble-investigative-teams-230754669.html,PERS,Neutral
Business Insider,2024-11-06,"Adjourn, adjourn, adjourn' — Trump is expected to use new status as president-elect to delay hush-money sentencing","President-elect Donald Trump speaks at an election night event at the Palm Beach Convention Center on November 06, 2024Chip Somodevilla/Getty Images
<ul><li>Trump will try to use his new status as p… [+6616 chars]",https://www.businessinsider.com/trump-can-use-new-status-president-elect-to-delay-sentencing-2024-11,PERS,Negative
The New Republic,2024-11-22,Trump Suddenly Goes Weirdly Quiet After Gaetz Mess Triggers MAGA Rage,"After Matt Gaetz abruptly withdrew from consideration as Donald Trumps pick for attorney general, Trump seemed uncharacteristically muted. Intriguingly, he accepted this outcome without once trying t… [+523 chars]",https://newrepublic.com/article/188719/trump-suddenly-goes-weirdly-quiet-gaetz-mess-triggers-maga-rage,PERS,Negative
Forbes,2024-11-22,Trump Hush Money Sentencing Postponed Indefinitely—Possibly Until He Leaves Office,"President-elect Donald Trumps criminal sentencing is postponed indefinitelypotentially until after he leaves officeJudge Juan Merchan ruled Friday, as the criminal cases against Trump have fallen apa… [+2026 chars]",https://www.forbes.com/sites/alisondurkee/2024/11/22/trump-hush-money-sentencing-postponed-indefinitely-possibly-until-he-leaves-office/,PERS,Negative
Gizmodo.com,2024-11-01,"Jeffrey Epstein Had Photos of Donald Trump With ‘Young Girls,’ Reporter Claims","Jeffrey Epstein, the pedophile who supposedly killed himself in federal prison in 2019, had photos of Donald Trump with “young girls” who were “topless,” according to a new podcast episode from repor… [+4559 chars]",https://gizmodo.com/jeffrey-epstein-had-photos-of-donald-trump-with-young-girls-reporter-claims-2000519590,PERS,Negative
Rolling Stone,2024-11-03,‘SNL’ Weekend Update Goes All In On Trump Mockery Before Election,"Saturday Night Live‘s Weekend Update had some final pre-election thoughts on Donald Trump’s Madison Square Garden rally last week, his garbage truck photo op, and more.
“Well, next week America will… [+1456 chars]",http://www.rollingstone.com/tv-movies/tv-movie-news/snl-weekend-update-goes-all-in-trump-mockery-before-presidential-election-1235151492/,PERS,Negative
Vox,2024-11-12,Why the attempt to deplatform Trump failed so utterly,"The 2024 election has conclusively proven something that we really should have known since 2016: Americas gatekeepers have failed.
The premise of gatekeeping, as a political enterprise, is that ther… [+9451 chars]",https://www.vox.com/politics/384343/trump-media-shun-gatekeep-musk-rogan-fuentes-carlson,PERS,Negative
Yahoo Entertainment,2024-10-26,"Trump says he’s ‘really, really rich.’ With a possible presidential victory looming, here’s how much he’s actually worth","If you click 'Accept all', we and our partners, including 237 who are part of the IAB Transparency &amp; Consent Framework, will also store and/or access information on a device (in other words, use … [+678 chars]",https://consent.yahoo.com/v2/collectConsent?sessionId=1_cc-session_d9ea5950-04fe-45b4-958f-4323d626f650,PERS,Positive
